# y  y/R  Hx  Hy  |H|/H0  analytic_in  analytic_out  mu
63.0000 -0.0781 0.001309 2.029852 2.029852 0.222222 -126.431111 1.7600
64.0000 0.0000 0.001302 1.995032 1.995032 0.222222 0.000000 0.2200
65.0000 0.0781 0.001296 1.960094 1.960094 0.222222 -126.431111 0.2200
66.0000 0.1562 0.001288 1.925318 1.925318 0.222222 -30.857778 0.2200
67.0000 0.2344 0.001281 1.890834 1.890835 0.222222 -13.159012 0.2201
68.0000 0.3125 0.001273 1.856426 1.856426 0.222222 -6.964444 0.2202
69.0000 0.3906 0.001265 1.820991 1.820991 0.222222 -4.097244 0.2206
70.0000 0.4688 0.001255 1.781140 1.781140 0.222222 -2.539753 0.2217
71.0000 0.5469 0.001244 1.727905 1.727906 0.222222 -1.600635 0.2246
72.0000 0.6250 0.001230 1.640854 1.640855 0.222222 -0.991111 0.2326
73.0000 0.7031 0.001210 1.485697 1.485697 0.222222 -0.573224 0.2537
74.0000 0.7812 0.001179 1.237780 1.237781 0.222222 -0.274311 0.3083
75.0000 0.8594 0.001135 0.931593 0.931594 0.222222 -0.053150 0.4385
76.0000 0.9375 0.001081 0.659882 0.659882 0.222222 0.115062 0.6974
77.0000 1.0156 0.001023 0.496143 0.496144 0.222222 0.245970 1.0667
78.0000 1.0938 0.000964 0.440580 0.440581 0.222222 0.349841 1.4035
79.0000 1.1719 0.000912 0.447718 0.447718 0.222222 0.433640 1.6064
80.0000 1.2500 0.000868 0.478294 0.478294 0.222222 0.502222 1.7600
79.0000 1.1719 0.000912 0.447718 0.447718 0.222222 0.433640 1.7600
80.0000 1.2500 0.000868 0.478294 0.478294 0.222222 0.502222 1.6997
81.0000 1.3281 0.000829 0.514265 0.514266 0.222222 0.559062 1.7372
82.0000 1.4062 0.000795 0.549015 0.549016 0.222222 0.606694 1.7516
83.0000 1.4844 0.000764 0.580314 0.580314 0.222222 0.647005 1.7569
84.0000 1.5625 0.000736 0.607679 0.607680 0.222222 0.681422 1.7589
85.0000 1.6406 0.000711 0.631315 0.631315 0.222222 0.711041 1.7596
86.0000 1.7188 0.000687 0.651646 0.651647 0.222222 0.736713 1.7598
87.0000 1.7969 0.000664 0.669130 0.669130 0.222222 0.759109 1.7599
88.0000 1.8750 0.000643 0.684184 0.684184 0.222222 0.778765 1.7600
89.0000 1.9531 0.000623 0.697171 0.697171 0.222222 0.796110 1.7600
90.0000 2.0312 0.000604 0.708397 0.708397 0.222222 0.811492 1.7600
91.0000 2.1094 0.000586 0.718119 0.718119 0.222222 0.825197 1.7600
92.0000 2.1875 0.000568 0.726553 0.726553 0.222222 0.837460 1.7600
93.0000 2.2656 0.000550 0.733880 0.733880 0.222222 0.848477 1.7600
94.0000 2.3438 0.000533 0.740253 0.740254 0.222222 0.858410 1.7600
95.0000 2.4219 0.000517 0.745804 0.745804 0.222222 0.867397 1.7600
96.0000 2.5000 0.000500 0.750642 0.750642 0.222222 0.875556 1.7600
95.0000 2.4219 0.000517 0.745804 0.745804 0.222222 0.867397 1.7600
96.0000 2.5000 0.000500 0.750642 0.750642 0.222222 0.875556 1.7600
97.0000 2.5781 0.000484 0.754862 0.754862 0.222222 0.882983 1.7600
98.0000 2.6562 0.000468 0.758548 0.758548 0.222222 0.889765 1.7600
99.0000 2.7344 0.000452 0.761768 0.761768 0.222222 0.895975 1.7600
100.0000 2.8125 0.000436 0.764586 0.764586 0.222222 0.901674 1.7600
101.0000 2.8906 0.000421 0.767053 0.767053 0.222222 0.906917 1.7600
102.0000 2.9688 0.000405 0.769218 0.769218 0.222222 0.911751 1.7600
103.0000 3.0469 0.000389 0.771121 0.771121 0.222222 0.916219 1.7600
104.0000 3.1250 0.000373 0.772798 0.772798 0.222222 0.920356 1.7600
105.0000 3.2031 0.000357 0.774282 0.774282 0.222222 0.924193 1.7600
106.0000 3.2812 0.000341 0.775601 0.775601 0.222222 0.927760 1.7600
107.0000 3.3594 0.000325 0.776779 0.776779 0.222222 0.931081 1.7600
108.0000 3.4375 0.000309 0.777840 0.777840 0.222222 0.934178 1.7600
109.0000 3.5156 0.000293 0.778804 0.778804 0.222222 0.937071 1.7600
110.0000 3.5938 0.000277 0.779689 0.779689 0.222222 0.939777 1.7600
111.0000 3.6719 0.000261 0.780511 0.780511 0.222222 0.942313 1.7600
112.0000 3.7500 0.000244 0.781284 0.781284 0.222222 0.944691 1.7600
111.0000 3.6719 0.000261 0.780511 0.780511 0.222222 0.942313 1.7600
112.0000 3.7500 0.000244 0.781284 0.781284 0.222222 0.944691 1.7600
113.0000 3.8281 0.000228 0.782023 0.782023 0.222222 0.946926 1.7600
114.0000 3.9062 0.000211 0.782738 0.782738 0.222222 0.949028 1.7600
115.0000 3.9844 0.000195 0.783441 0.783441 0.222222 0.951007 1.7600
116.0000 4.0625 0.000178 0.784141 0.784141 0.222222 0.952873 1.7600
117.0000 4.1406 0.000161 0.784849 0.784849 0.222222 0.954635 1.7600
118.0000 4.2188 0.000144 0.785570 0.785570 0.222222 0.956299 1.7600
119.0000 4.2969 0.000127 0.786315 0.786315 0.222222 0.957874 1.7600
120.0000 4.3750 0.000110 0.787088 0.787088 0.222222 0.959365 1.7600
121.0000 4.4531 0.000093 0.787896 0.787896 0.222222 0.960778 1.7600
122.0000 4.5312 0.000076 0.788746 0.788746 0.222222 0.962119 1.7600
123.0000 4.6094 0.000058 0.789642 0.789642 0.222222 0.963392 1.7600
124.0000 4.6875 0.000041 0.790589 0.790589 0.222222 0.964602 1.7600
125.0000 4.7656 0.000024 0.942376 0.942376 0.222222 0.965754 1.7600
126.0000 4.8438 -0.000000 1.029991 1.029991 0.222222 0.966849 1.7600
127.0000 4.9219 -0.000000 0.966841 0.966841 0.222222 0.967893 1.7600
128.0000 5.0000 0.000000 0.000000 0.000000 0.222222 0.968889 1.7600
-1.0000 -5.0781 0.000000 0.000000 0.000000 0.222222 0.969839 1.7600
0.0000 -5.0000 -0.000000 0.969832 0.969832 0.222222 0.968889 1.7600
1.0000 -4.9219 -0.000000 0.968881 0.968881 0.222222 0.967893 1.7600
2.0000 -4.8438 -0.000000 0.967885 0.967885 0.222222 0.966849 1.7600
3.0000 -4.7656 -0.000000 0.966841 0.966841 0.222222 0.965754 1.7600
4.0000 -4.6875 -0.000000 1.262804 1.262804 0.222222 0.964602 1.7600
5.0000 -4.6094 0.000032 1.343725 1.343725 0.222222 0.963392 1.7600
6.0000 -4.5312 0.000055 1.127395 1.127395 0.222222 0.962119 1.7600
7.0000 -4.4531 0.000078 1.125803 1.125803 0.222222 0.960778 1.7600
8.0000 -4.3750 0.000101 1.124038 1.124038 0.222222 0.959365 1.7600
9.0000 -4.2969 0.000124 1.122094 1.122094 0.222222 0.957874 1.7600
10.0000 -4.2188 0.000147 1.119968 1.119968 0.222222 0.956299 1.7600
11.0000 -4.1406 0.000170 1.117652 1.117652 0.222222 0.954635 1.7600
12.0000 -4.0625 0.000192 1.115141 1.115141 0.222222 0.952873 1.7600
13.0000 -3.9844 0.000215 1.112426 1.112426 0.222222 0.951007 1.7600
14.0000 -3.9062 0.000237 1.109500 1.109500 0.222222 0.949028 1.7600
15.0000 -3.8281 0.000259 1.106355 1.106355 0.222222 0.946926 1.7600
16.0000 -3.7500 0.000281 1.102980 1.102980 0.222222 0.944691 1.7600
15.0000 -3.8281 0.000259 1.106355 1.106355 0.222222 0.946926 1.7600
16.0000 -3.7500 0.000281 1.102980 1.102980 0.222222 0.944691 1.7600
17.0000 -3.6719 0.000302 1.099365 1.099365 0.222222 0.942313 1.7600
18.0000 -3.5938 0.000324 1.095498 1.095498 0.222222 0.939777 1.7600
19.0000 -3.5156 0.000345 1.091366 1.091366 0.222222 0.937071 1.7600
20.0000 -3.4375 0.000366 1.086953 1.086953 0.222222 0.934178 1.7600
21.0000 -3.3594 0.000387 1.082244 1.082244 0.222222 0.931081 1.7600
22.0000 -3.2812 0.000407 1.077218 1.077218 0.222222 0.927760 1.7600
23.0000 -3.2031 0.000427 1.071856 1.071856 0.222222 0.924193 1.7600
24.0000 -3.1250 0.000447 1.066133 1.066134 0.222222 0.920356 1.7600
25.0000 -3.0469 0.000467 1.060023 1.060023 0.222222 0.916219 1.7600
26.0000 -2.9688 0.000486 1.053495 1.053495 0.222222 0.911751 1.7600
27.0000 -2.8906 0.000506 1.046514 1.046514 0.222222 0.906917 1.7600
28.0000 -2.8125 0.000525 1.039040 1.039040 0.222222 0.901674 1.7600
29.0000 -2.7344 0.000544 1.031027 1.031027 0.222222 0.895975 1.7600
30.0000 -2.6562 0.000562 1.022424 1.022424 0.222222 0.889765 1.7600
31.0000 -2.5781 0.000581 1.013168 1.013169 0.222222 0.882983 1.7600
32.0000 -2.5000 0.000599 1.003191 1.003191 0.222222 0.875556 1.7600
31.0000 -2.5781 0.000581 1.013168 1.013169 0.222222 0.882983 1.7600
32.0000 -2.5000 0.000599 1.003191 1.003191 0.222222 0.875556 1.7600
33.0000 -2.4219 0.000618 0.992410 0.992410 0.222222 0.867397 1.7600
34.0000 -2.3438 0.000636 0.980729 0.980729 0.222222 0.858410 1.7600
35.0000 -2.2656 0.000654 0.968036 0.968037 0.222222 0.848477 1.7600
36.0000 -2.1875 0.000673 0.954199 0.954200 0.222222 0.837460 1.7600
37.0000 -2.1094 0.000692 0.939061 0.939061 0.222222 0.825197 1.7600
38.0000 -2.0312 0.000711 0.922435 0.922435 0.222222 0.811492 1.7600
39.0000 -1.9531 0.000731 0.904099 0.904099 0.222222 0.796110 1.7600
40.0000 -1.8750 0.000751 0.883787 0.883787 0.222222 0.778765 1.7600
41.0000 -1.7969 0.000773 0.861180 0.861180 0.222222 0.759109 1.7599
42.0000 -1.7188 0.000795 0.835904 0.835904 0.222222 0.736713 1.7598
43.0000 -1.6406 0.000819 0.807527 0.807528 0.222222 0.711041 1.7596
44.0000 -1.5625 0.000845 0.775592 0.775593 0.222222 0.681422 1.7589
45.0000 -1.4844 0.000873 0.739708 0.739708 0.222222 0.647005 1.7569
46.0000 -1.4062 0.000904 0.699807 0.699807 0.222222 0.606694 1.7516
47.0000 -1.3281 0.000938 0.656775 0.656776 0.222222 0.559062 1.7372
48.0000 -1.2500 0.000978 0.613912 0.613913 0.222222 0.502222 1.7600
47.0000 -1.3281 0.000938 0.656775 0.656776 0.222222 0.559062 1.7600
48.0000 -1.2500 0.000978 0.613912 0.613913 0.222222 0.502222 1.6997
49.0000 -1.1719 0.001024 0.580525 0.580526 0.222222 0.433640 1.6064
50.0000 -1.0938 0.001079 0.580996 0.580997 0.222222 0.349841 1.4035
51.0000 -1.0156 0.001140 0.666714 0.666715 0.222222 0.245970 1.0667
